source,repository,revision,path,sha256
participant_data,soodoku/dp-data,bce1e0e3aea578b71090dde5348ca66ccb778048,evidence/benchmarks/polardata.tab,98153f8fcde1d9c2bcb56b6179d66210834ab344790c835ddcf5f1f1039b448a
index_dictionary,soodoku/dp-data,bce1e0e3aea578b71090dde5348ca66ccb778048,evidence/benchmarks/attitude-indices.tab,e849d6a0926712e0193d2f1d7fecd17352170c510fa9c995529566162a206e4a
