"source_id","repository","revision","path","official_url","editable","sha256"
"paper_vor","soodoku/dp-distortions",NA,"deliberative-distortions-homogenization-polarization-and-domination-in-small-group-discussions.pdf","https://doi.org/10.1017/S0007123421000168",FALSE,"a2b6000b2b9183d87b67c520a61d4e30e91122d3264358e25c4adb3b2b94dfe2"
"participant_data","soodoku/dp-data","bce1e0e3aea578b71090dde5348ca66ccb778048","evidence/benchmarks/polardata.tab",NA,FALSE,"98153f8fcde1d9c2bcb56b6179d66210834ab344790c835ddcf5f1f1039b448a"
"index_dictionary","soodoku/dp-data","bce1e0e3aea578b71090dde5348ca66ccb778048","evidence/benchmarks/attitude-indices.tab",NA,FALSE,"e849d6a0926712e0193d2f1d7fecd17352170c510fa9c995529566162a206e4a"
"package_lock","soodoku/dp-distortions",NA,"renv.lock",NA,TRUE,"56fe9fd37ccc11546a8a891f66eea81c4ca7471db474ab26656dedefd3691a6c"
